,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
213,cirque du soleil: worlds away,2012,english,united states,fantasy,25000000,12512862,0.3663755745049329,21640239,0.633624425495067,34153101
215,close range,2015,"english, spanish",united states,"action, crime, thriller",3000000,248978,0.5,248978,0.5,497956
216,cloudy with a chance of meatballs 2,2013,english,united states,"adventure, animation, comedy, family, fantasy, sci-fi",78000000,119793567,0.4365771730276929,154599082,0.5634228269723072,274392649
217,coco before chanel,2009,"french,english","france,belgium","biography, drama",23000000,6113834,0.1203204286530669,44699100,0.8796795713469331,50812934
218,cold pursuit,2019,english,"norway,united states,united kingdom,canada,france,china,germany","action, comedy, crime, drama, thriller",60000000,32138862,0.4205569881766828,44280893,0.5794430118233171,76419755
219,collateral beauty,2016,english,united states,"drama, romance",36000000,31016021,0.3500046678918251,57600000,0.6499953321081748,88616021
231,criminal activities,2015,english,united states,"crime, drama, thriller",7000000,171494,0.5,171494,0.5,342988
232,crimson peak,2015,english,"united states,mexico,canada","drama, horror, mystery, romance, thriller",55000000,31090320,0.4147208845125074,43876534,0.5852791154874927,74966854
235,dallas buyers club,2013,english,united states,"biography, drama",5000000,27298285,0.4503787172292808,33313560,0.5496212827707192,60611845
242,dead man down,2013,"albanian,english,french,spanish",united states,"action, adventure, crime, drama, mystery, thriller",30000000,10895295,0.6027979468798623,7179244,0.3972020531201377,18074539
243,deadpool 2,2018,english,united states,"action, adventure, comedy, sci-fi",110000000,324591735,0.4126093267613324,462088822,0.5873906732386676,786680557
244,dear white people,2014,english,united states,"comedy, drama, romance",1250000,4404154,0.9504080850054628,229807,0.049591914994537,4633961
250,despicable me 3,2017,english,united states,"adventure, animation, comedy, crime, family, sci-fi",75000000,264624300,0.2557252136969475,770175109,0.7442747863030524,1034799409
254,die hard with a vengeance,1995,english,united states,"action, adventure, thriller",90000000,100012499,0.2731823105115288,266089167,0.7268176894884713,366101666
255,dirty grandpa,2016,english,united states,comedy,11500000,35593113,0.338728952879767,69485336,0.661271047120233,105078449
257,django unchained,2012,english,united states,"western, spaghetti western, drama",100000000,162805434,0.3618314052478422,287142889,0.6381685947521578,449948323
262,dolphin tale 2,2014,english,united states,"drama, family",36000000,42024533,0.7267595745217692,15800000,0.2732404254782308,57824533
263,don jon,2013,english,united states,"comedy, drama, romance",5500000,24477704,0.5931317383135484,16790875,0.4068682616864515,41268579
266,doogal,2006,"english,french","united kingdom,france","adventure, animation, comedy, family, fantasy",20000000,7578946,0.2701108378264216,20479706,0.7298891621735784,28058652
