,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
1180,uncle drew,2018,english,united states,"comedy, drama, sport",18000000,42469946,0.9101142039413588,4194468,0.0898857960586411,46664414
1183,underworld: blood wars,2016,english,"czech republic,united states","action, fantasy, horror, thriller",35000000,30353973,0.374309198589531,50739340,0.625690801410469,81093313
1186,unfriended,2014,english,united states,"horror, mystery, thriller",1000000,32482090,0.5165555088897331,30400000,0.4834444911102668,62882090
1187,unfriended: dark web,2018,english,united states,"horror, mystery, thriller",1000000,8866745,0.5533074691417846,7158242,0.4466925308582153,16024987
1188,unplanned,2019,english,united states,"biography, drama",6000000,19005109,0.8804643024617743,2580217,0.1195356975382257,21585326
1189,unsane,2018,english,united states,"drama, horror, mystery, thriller",1500000,7732899,0.5410042577794077,6560702,0.4589957422205922,14293601
1195,van wilder,2002,english,"germany,united states","comedy, romance",5000000,21305259,0.5566293964206801,16970224,0.4433706035793199,38275483
1199,veer zaara,2004,hindi,india,"drama, family, musical, romance",7000000,2938532,0.4386737492634735,3760141,0.5613262507365264,6698673
1204,wall·e,2008,english,united states,"adventure, animation, family, sci-fi",180000000,223808164,0.4243657028833755,303586398,0.5756342971166244,527394562
1209,"war, inc.",2008,english,united states,"action, comedy, thriller",10000000,580862,0.4481323639236405,715322,0.5518676360763596,1296184
1216,welcome to marwen,2018,english,united states,"biography, comedy, drama, fantasy, romance",45000000,10763520,0.8240651852074162,2297971,0.1759348147925838,13061491
1219,what men want,2019,english,united states,"comedy, fantasy, romance",20000000,54611903,0.7562268841987377,17604391,0.2437731158012622,72216294
1227,white boy rick,2018,english,united states,"crime, drama",30000000,24011188,0.925019922964793,1946294,0.074980077035207,25957482
1228,white house down,2013,english,united states,"action, drama, thriller",150000000,73103784,0.355967013294855,132262953,0.644032986705145,205366737
1229,why did i get married?,2007,english,united states,"comedy, drama, romance",15000000,55204525,0.9869551493185436,729653,0.0130448506814563,55934178
1230,why him?,2016,english,united states,comedy,38000000,60323786,0.5107738707976467,57778939,0.4892261292023533,118102725
1234,wild target,2010,"english,french","france,united kingdom","action, comedy, crime",8000000,108589,0.0310773366027942,3385565,0.9689226633972058,3494154
1239,wish i was here,2014,english,united states,"comedy, drama",6000000,3591299,0.6332993932400081,2079477,0.3667006067599919,5670776
1240,wish upon,2017,english,united states,"drama, fantasy, horror, mystery, thriller",12000000,14301505,0.6091619388819306,9175840,0.3908380611180693,23477345
1241,without men,2011,"english,spanish",united states,"comedy, drama",4700000,133933,0.5,133933,0.5,267866
1242,wolf warrior 2,2017,"mandarin,english",china,"action, adventure, drama, thriller, war",30100000,2721100,0.0031265316145722,867604339,0.9968734683854276,870325439
1245,wonder park,2019,english,"united states,spain","adventure, animation, comedy, drama, family, fantasy",100000000,45216793,0.3781961324402632,74342317,0.6218038675597368,119559110
1248,x-men: apocalypse,2016,english,united states,"action, adventure, sci-fi",178000000,155442489,0.285774485495812,388491616,0.7142255145041879,543934105
1249,x-men: dark phoenix,2019,english,united states,"action, adventure, sci-fi",200000000,65845974,0.2608350430858099,186597000,0.73916495691419,252442974
1250,x-men: days of future past,2014,english,"united states,united kingdom","action, adventure, sci-fi, thriller",200000000,233921534,0.3135485319465014,512124166,0.6864514680534985,746045700
1251,x2: x-men united,2003,english,united states,"action, sci-fi, thriller",110000000,214949694,0.5272102164562427,192761855,0.4727897835437573,407711549
1254,yeh jawaani hai deewani,2013,hindi,india,"comedy, drama, musical, romance",8300000,3827466,0.1234993884346304,27164315,0.8765006115653695,30991781
1256,yoga hosers,2016,english,united states,"action, comedy, horror, music, mystery, romance",5000000,36585,0.5,36585,0.5,73170
1257,you got served: beat the world,2011,english,canada,"hip hop movies, drama",10000000,933540,0.5,933540,0.5,1867080
1259,zathura: a space adventure,2005,english,united states,"action, adventure, comedy, family, fantasy, sci-fi",65000000,29258869,0.4495893028889887,35820235,0.5504106971110112,65079104
1260,zombieland: double tap,2019,english,united states,"action, comedy, horror",42000000,73123082,0.5954144160056023,49687317,0.4045855839943977,122810399
1261,zoolander 2,2016,english,united states,"action, adventure, comedy, mystery, romance",50000000,28848693,0.5085917377018754,27874000,0.4914082622981247,56722693
1262,zootopia,2016,english,united states,"action, adventure, animation, comedy, crime, family, mystery",150000000,341268248,0.3333400238709487,682515947,0.6666599761290513,1023784195
