Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Diary of a Mad Black Woman ,2005,English,United States,Drama,"$5,500,000 (worldwide box office is 9.2 times production budget)",116 minutes,"PG-13 for drug content, thematic elements, crude sexual references and some violence.","$50,406,346","$52,010","$50,458,356"
Shine ,1996,English,Australia,Drama,"$5,500,000 (worldwide box office is 6.7 times production budget)",105 minutes,PG-13 for nudity/sensuality and intense thematic elements,"$35,811,509","$864,423","$36,675,932"
Don Jon ,2013,English,United States,Romantic Comedy,"$5,500,000 (worldwide box office is 7.5 times production budget)",90 minutes,"R for strong graphic sexual material and dialogue throughout, nudity, language and some drug use.(Rating bulletin 2281, 7/17/2013)","$24,477,704","$16,790,875","$41,268,579"
Show Dogs ,2018,English,United States,Comedy,"$5,500,000 (worldwide box office is 7.3 times production budget)",92 minutes,"PG for suggestive and rude humor, language and some action.(Rating bulletin 2529 (Cert #51393), 5/30/2018)PG for suggestive and rude humor, language and some action.
NOTE: EDITED VERSION. CONTENT IS DIFFERENT FROM SURRENDERED ""PG"" RATED VERSION, BULLETIN NO. 2529 (5/30/18). ONLY THIS EDITED VERSION IS RATED.(Rating bulletin 2538 (Cert #51658), 8/1/2018)","$17,744,685","$22,270,313","$40,014,998"
High Plains Drifter ,1973,English,United States,Western,"$5,500,000 (worldwide box office is 2.9 times production budget)",105 minutes,Not Rated,"$15,700,000",,
Hell Fest ,2018,English,United States,Horror,"$5,500,000 (worldwide box office is 3.3 times production budget)",89 minutes,"R for horror violence, and language including some sexual references.(Rating bulletin 2543 (Cert #51747), 9/5/2018)","$11,107,431","$7,187,452","$18,294,883"
Mambo Italiano ,2003,,Canada,Comedy,"$5,500,000 (worldwide box office is 2.3 times production budget)",88 minutes,R for language and sexual situations,"$9,282,750","$3,117,022","$12,399,772"
Loving Vincent ,2017,English,United Kingdom,Drama,"$5,500,000 (worldwide box office is 8.0 times production budget)",95 minutes,"PG-13 for mature thematic elements, some violence, sexual material and smoking.(Rating bulletin 2484 (Cert #51135), 7/12/2017)","$6,735,118","$37,323,432","$44,058,550"
Ghost World ,2001,,,Black Comedy,"$5,500,000 (worldwide box office is 1.6 times production budget)",112 minutes,R for strong language and some sexual content,"$6,217,849","$2,543,759","$8,761,608"
Iris ,2001,English,"United Kingdom, United States",Drama,"$5,500,000 (worldwide box office is 1.0 times production budget)",91 minutes,R,"$5,580,479","$112,462","$5,692,941"
Galaxina ,1980,,United States,,"$5,500,000 (worldwide box office is 0.9 times production budget)",,,"$4,865,000",,
Les Choristes ,2004,French,"France, Germany, Switzerland",Drama,"$5,500,000 (worldwide box office is 15.2 times production budget)",96 minutes,PG-13 for some language/sexual references and violence.,"$3,629,758","$79,895,868","$83,525,626"
Wonderland ,2003,English,"Canada, United States",Drama,"$5,500,000 (worldwide box office is 0.2 times production budget)",104 minutes,"R for strong violence/grisly images, pervasive drug use and language, some sexuality/nudity","$1,060,512","$67,956","$1,128,468"
De battre mon coeur s'est arrêté ,2005,,,Drama,"$5,500,000 (worldwide box office is 1.6 times production budget)",,Not Rated,"$1,023,424","$7,566,407","$8,589,831"
Haevnen ,2011,"Danish, Swedish","Denmark, Sweden, United States",Drama,"$5,500,000 (worldwide box office is 2.9 times production budget)",113 minutes,"R for violent and disturbing content some involving preteens, and for language.(Rating bulletin 2151, 12/15/2010)","$1,008,098","$14,859,216","$15,867,314"
Le Havre ,2011,French,"Finland, France",Drama,"$5,500,000 (worldwide box office is 2.5 times production budget)",93 minutes,Not Rated,"$611,709","$12,868,487","$13,480,196"
El Clan ,2015,Spanish,"Argentina, Spain",Drama,"$5,500,000 (worldwide box office is 4.0 times production budget)",108 minutes,"R for violence, language and a scene of sexuality/nudity.(Rating bulletin 2391, 9/16/2015)","$201,227","$21,923,875","$22,125,102"
Harvard Man ,2002,,,Drama,"$5,500,000 (worldwide box office is 0.0 times production budget)",,"R for drug use, language and some strong sexuality. ","$56,653",,
