Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
28 weeks later,2007,english,"spain, united kingdom","thriller, science fiction, horror, doomsday film, sci-fi horror, plague, zombie film",15000000.0,28638916.0,0.440268993629663,36409762.0,0.559731006370337,65048678.0
30 days of night,2007,english,united states of america,"thriller, horror, creature film",30000000.0,39569000.0,0.4929109713269792,40707160.0,0.5070890286730207,80276160.0
30 minutes or less,2011,"german, english, spanish","united states of america, canada, germany","action/adventure, crime fiction, action, comedy, adventure",28000000.0,37053924.0,0.9044885120886916,3912792.0,0.0955114879113083,40966716.0
300,2006,english,united states of america,"historical fiction, adventure, superhero movie, costume drama, film adaptation, epic, action/adventure, fantasy, war film, historical epic, action",60000000.0,210614939.0,0.4618058171438187,245453242.0,0.5381941828561814,456068181.0
3000 miles to graceland,2001,english,united states of america,"crime fiction, thriller, heist, caper story, chase movie, action/adventure, comedy, crime thriller, action",62000000.0,15749959.0,0.8413360986208729,2970216.0,0.158663901379127,18720175.0
3:10 to yuma,1957,english,united states of america,"action/adventure, western, action",48000000.0,53606916.0,0.7532041787603452,17564909.0,0.2467958212396548,71171825.0
3:10 to yuma,2007,"chinese, english",united states of america,"crime fiction, thriller, action/adventure, western, drama, suspense, action",48000000.0,53606916.0,0.7532041787603452,17564909.0,0.2467958212396548,71171825.0
40 days and 40 nights,2002,english,"france, united states of america, united kingdom","romantic comedy, sex comedy, romance film, drama, comedy",17000000.0,37950822.0,0.3988681512655623,57195461.0,0.6011318487344377,95146283.0
42,2013,english,united states of america,"sports, biographical film, drama",31000000.0,95020213.0,0.9748592348792074,2450488.0,0.0251407651207925,97470701.0
47 ronin,2012,english,united states of america,"drama, action, fantasy",175000000.0,38362475.0,0.2527441343738841,113421364.0,0.7472558656261158,151783839.0
50 first dates,2004,"turkish, standard mandarin, english, hawaiian",united states of america,"romantic comedy, romance film, comedy",75000000.0,120908074.0,0.6093744522170143,77505354.0,0.3906255477829857,198413428.0
50/50,1982,norwegian,norway,"music, drama, adventure",8000000.0,35016118.0,0.8471354177061979,6318617.0,0.152864582293802,41334735.0
50/50,2011,"english, american english",united states of america,"drama, biography, comedy-drama, comedy",8000000.0,35016118.0,0.8471354177061979,6318617.0,0.152864582293802,41334735.0
8 mile,2002,english,"united states of america, germany","coming of age, musical, drama, musical drama, hip hop movies",41000000.0,116750901.0,0.4749925802052855,129044309.0,0.5250074197947144,245795210.0
88 minutes,2007,english,"united states of america, canada, germany","thriller, crime fiction, psychological thriller, mystery, drama, suspense, crime thriller",30000000.0,17213467.0,0.5178854420223226,16024515.0,0.4821145579776774,33237982.0
9,2009,english,united states of america,"thriller, science fiction, adventure, computer animation, animation, mystery, apocalyptic and post-apocalyptic fiction, fantasy, action",30000000.0,31749894.0,0.6538281436126059,16810105.0,0.346171856387394,48559999.0
a beautiful mind,2001,english,united states of america,"biography, psychological thriller, period piece, marriage drama, drama, biopic [feature], romantic drama, romance film, biographical film",78000000.0,170742341.0,0.5374302391733536,146959062.0,0.4625697608266464,317701403.0
a cinderella story,2004,"czech, english, german","united states of america, canada","romantic comedy, ""childrens"", comedy, romance film, family film, teen",19000000.0,51438175.0,0.7331123941508269,18725930.0,0.2668876058491731,70164105.0
a dangerous method,2011,english,"switzerland, canada, france, united kingdom, germany, ireland","thriller, biographical film, drama, historical drama",20000000.0,5704709.0,0.18692052500577,24814727.0,0.81307947499423,30519436.0
a good day to die hard,2013,english,united states of america,"crime fiction, thriller, action",92000000.0,67349198.0,0.2210676956996441,237304984.0,0.7789323043003559,304654182.0
a good year,2006,"french, russian, english","united states of america, united kingdom","romantic comedy, slice of life story, comedy of manners, comedy-drama, drama, comedy, film adaptation, romantic drama, romance film",35000000.0,7459300.0,0.1764682656270748,34810623.0,0.8235317343729252,42269923.0
a guy thing,2003,english,united states of america,"romantic comedy, romance film, comedy of errors, comedy",20000000.0,15545431.0,0.8917671891893163,1886732.0,0.1082328108106836,17432163.0
a history of violence,2005,english,"united states of america, germany","thriller, crime thriller, marriage drama, drama, psychological thriller",32000000.0,31504633.0,0.5123650303711346,29984015.0,0.4876349696288655,61488648.0
a lot like love,2005,"english, american sign",united states of america,"romantic comedy, drama, romance film, comedy-drama, comedy",25000000.0,21845719.0,0.5093819137808141,21041000.0,0.4906180862191859,42886719.0
a man apart,2003,"french, english, spanish","united states of america, germany","crime fiction, thriller, action thrillers, action/adventure, drama, crime thriller, action",36000000.0,26736098.0,0.6028306601760693,17614828.0,0.3971693398239306,44350926.0
a mighty heart,2007,"french, arabic, urdu, english","united states of america, united kingdom","war film, docudrama, drama, film adaptation, biographical film, political drama",15000000.0,9176787.0,0.4791163192153023,9976781.0,0.5208836807846977,19153568.0
a mighty wind,2003,english,united states of america,"parody, musical, musical comedy, mockumentary, comedy",6000000.0,17781006.0,0.948307878200638,969240.0,0.0516921217993619,18750246.0
a nightmare on elm street,2010,english,united states of america,"thriller, horror, remake, mystery, slasher, teen",35000000.0,63075011.0,0.5357616075227151,54654610.0,0.4642383924772849,117729621.0
a nightmare on elm street,1984,english,united states of america,"horror, indie, supernatural, cult, mystery, slasher, teen",35000000.0,63075011.0,0.5357616075227151,54654610.0,0.4642383924772849,117729621.0
a perfect getaway,2009,english,united states of america,"thriller, psychological thriller, action/adventure, mystery, crime thriller, action, slasher",14000000.0,15515460.0,0.6763988780525382,7422869.0,0.3236011219474618,22938329.0
a prairie home companion,2006,"norwegian, english",united states of america,"ensemble film, americana, musical, drama, comedy, music",10000000.0,20342852.0,0.7614428269359206,6373339.0,0.2385571730640794,26716191.0
a serious man,2009,"yiddish, english, hebrew","united states of america, france, united kingdom","black comedy, period piece, biography, drama, comedy",7000000.0,9228788.0,0.2936266005785363,22201566.0,0.7063733994214637,31430354.0
a single man,2009,"english, spanish",united states of america,"lgbt, romantic drama, romance film, drama, film adaptation",7000000.0,9176000.0,0.3260563010682217,18966379.0,0.6739436989317783,28142379.0
a star is born,1976,english,united states of america,"romance film, musical, drama, indie, romantic drama",36000000.0,215288866.0,0.4933417939219375,221100000.0,0.5066582060780624,436388866.0
a star is born,1937,english,united states of america,"romantic drama, musical, drama, romance film",36000000.0,215288866.0,0.4933417939219375,221100000.0,0.5066582060780624,436388866.0
a star is born,1954,english,united states of america,"musical, drama",36000000.0,215288866.0,0.4933417939219375,221100000.0,0.5066582060780624,436388866.0
a thousand words,2012,english,united states of america,"comedy-drama, drama, comedy",40000000.0,18450127.0,0.8369576829396582,3594150.0,0.1630423170603417,22044277.0
a walk to remember,2002,english,united states of america,"melodrama, coming of age, film adaptation, drama, romantic drama, romance film, teen",11000000.0,41281092.0,0.8691686495455639,6213824.0,0.130831350454436,47494916.0
a wrinkle in time,2003,english,canada,"science fiction, fantasy adventure, adventure, ""childrens/family"", television movie, drama, ""childrens fantasy"", film adaptation, fantasy, family film",103000000.0,100478608.0,0.7532023273854562,32923274.0,0.2467976726145437,133401882.0
abandon,2002,"italian, english","united states of america, australia","thriller, mystery, drama, psychological thriller, suspense",25000000.0,10727683.0,0.8720120329511286,1574536.0,0.1279879670488714,12302219.0
abduction,2011,english,united states of america,"thriller, mystery, action, drama, action/adventure",35000000.0,28087155.0,0.3241510321043702,58561204.0,0.6758489678956298,86648359.0
about a boy,2002,english,"united states of america, france, united kingdom","romantic comedy, slice of life story, comedy-drama, coming of age, comedy, drama, romance film",27000000.0,41385278.0,0.3150957071751245,89956651.0,0.6849042928248754,131341929.0
about last night,1986,english,united states of america,"romantic comedy, comedy-drama, drama, comedy, romantic drama, romance film",13000000.0,48637684.0,0.964156107161222,1808176.0,0.035843892838778,50445860.0
about schmidt,2002,english,united states of america,"indie, comedy of manners, comedy-drama, drama, comedy, black comedy, tragicomedy",30000000.0,65016287.0,0.6072568120275172,42049267.0,0.3927431879724827,107065554.0
abraham lincoln: vampire hunter,2012,english,united states of america,"thriller, action/adventure, action, horror, fantasy",67500000.0,37519139.0,0.2728868476212732,99970591.0,0.7271131523787268,137489730.0
across the universe,2007,english,united states of america,"lgbt, jukebox musical, period piece, musical, drama, romantic drama, romance film",45000000.0,24343673.0,0.828942502169857,5023470.0,0.171057497830143,29367143.0
act of valor,2012,english,united states of america,"thriller, action, adventure",12000000.0,70012847.0,0.8486710704208945,12484188.0,0.1513289295791055,82497035.0
adrift,2009,portuguese,brazil,"drama, world cinema",35000000.0,31445012.0,0.5245642790095696,28500000.0,0.4754357209904303,59945012.0
after earth,2013,english,"united states of america, costa rica","science fiction, action, adventure",130000000.0,60522097.0,0.2406448414155939,190977568.0,0.759355158584406,251499665.0
after the sunset,2004,english,united states of america,"crime fiction, heist, crime comedy, caper story, action/adventure, comedy, crime thriller, action",57000000.0,28331233.0,0.4521576284721337,34326635.0,0.5478423715278662,62657868.0
agent cody banks,2003,english,"united states of america, canada","thriller, crime fiction, adventure, ""childrens/family"", action/adventure, ""childrens"", comedy, family film, action, romance film, family-oriented adventure, spy",25000000.0,47938330.0,0.8153357652298172,10857484.0,0.1846642347701828,58795814.0
agent cody banks 2: destination london,2004,english,"united states of america, united kingdom","adventure, ""childrens/family"", action/adventure, comedy, family film, action, family-oriented adventure, spy",26000000.0,23630159.0,0.8199508345103638,5188836.0,0.1800491654896362,28818995.0
agora,2009,english,spain,"christian film, adventure, world cinema, history, epic, period piece, drama, romance film, historical epic",70000000.0,619423.0,0.0156985485743058,38837919.0,0.984301451425694,39457342.0
akeelah and the bee,2006,english,united states of america,"drama, family film, family drama, coming of age, childhood drama",8000000.0,18848430.0,0.9941457082240474,110994.0,0.0058542917759526,18959424.0
aladdin,1992,english,united states of america,"adventure, costume drama, animation, musical, ""childrens"", fantasy, comedy, music, family film, romance film",182000000.0,355559216.0,0.3384041708670612,695134737.0,0.6615958291329388,1050693953.0
aladdin,1994,english,"united states of america, japan","family film, japanese movies, adventure, animation",182000000.0,355559216.0,0.3384041708670612,695134737.0,0.6615958291329388,1050693953.0
alex & emma,2003,english,united states of america,"romantic comedy, romance film, comedy",30000000.0,14218698.0,0.9251606019612209,1150199.0,0.0748393980387792,15368897.0
alexander,2004,english,"united states of america, france, italy, united kingdom, germany, netherlands","lgbt, biography, adventure, costume drama, history, action/adventure, period piece, drama, war film, romance film, action",155000000.0,34297191.0,0.2050063457948188,133001001.0,0.7949936542051811,167298192.0
alfie,2004,english,"united states of america, united kingdom","romantic comedy, sex comedy, remake, comedy-drama, drama, comedy, romantic drama, romance film",40000000.0,13399812.0,0.3806785104420444,21800000.0,0.6193214895579556,35199812.0
alfie,1966,english,united kingdom,"lgbt, sex comedy, drama, comedy, romantic drama, romance film",40000000.0,13399812.0,0.3806785104420444,21800000.0,0.6193214895579556,35199812.0
ali,2001,english,united states of america,"biography, boxing, sports, period piece, drama, biographical film",109000000.0,58203105.0,0.6635567996265127,29510720.0,0.3364432003734873,87713825.0
alice in wonderland,1933,english,united states of america,"fantasy, black-and-white",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,2010,english,"united states of america, united kingdom","computer animation, family film, fantasy, adventure",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,2006,malayalam,india,"romance film, drama",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1966,english,united kingdom,"family film, fantasy, adventure",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1976,english,united states of america,"musical, comedy, pornographic movie",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1999,english,"united states of america, united kingdom, germany","adventure, television movie, costume drama, fantasy, comedy, family film",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1988,english,australia,"family film, fantasy, adventure, animation",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1915,english,united states of america,"silent film, black-and-white",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1951,english,united states of america,"adventure, costume drama, animation, ""childrens"", fantasy, drama, music, family film",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
alice in wonderland,1985,english,united states of america,"family film, fantasy, adventure, television movie",200000000.0,334191110.0,0.3258839659760678,691300000.0,0.6741160340239322,1025491110.0
aliens in the attic,2009,english,"united states of america, canada","science fiction, adventure, ""childrens/family"", fantasy, comedy, family film, family-oriented adventure",45000000.0,25200412.0,0.4231716048838108,34350871.0,0.5768283951161892,59551283.0
all about steve,2009,"english, spanish",united states of america,comedy,15000000.0,33862903.0,0.8438877671659557,6264356.0,0.1561122328340443,40127259.0
all about the benjamins,2002,english,"united states of america, germany","crime fiction, heist, buddy film, action comedy, action/adventure, comedy, crime comedy, action",14000000.0,25916319.0,0.9851666504286216,390214.0,0.0148333495713783,26306533.0
all the pretty horses,2000,english,united states of america,"adventure, period piece, action/adventure, western, coming of age, film adaptation, drama, romantic drama, romance film",45000000.0,15540353.0,0.8569971205219954,2593142.0,0.1430028794780046,18133495.0
almost famous,2000,english,united states of america,"road movie, comedy-drama, period piece, musical, coming of age, comedy, drama, musical drama",60000000.0,32534850.0,0.6866255179076496,14848839.0,0.3133744820923503,47383689.0
along came a spider,2001,english,united states of america,"crime fiction, thriller, psychological thriller, mystery, suspense, film adaptation, crime thriller",28000000.0,74078174.0,0.7043086851131192,31100387.0,0.2956913148868808,105178561.0
along came polly,2004,english,united states of america,"romantic comedy, gross out, romance film, gross-out film, comedy",42000000.0,88097164.0,0.4940626423963395,90214565.0,0.5059373576036605,178311729.0
alvin and the chipmunks,2007,"french, japanese, english, spanish",united states of america,"""childrens/family"", computer animation, musical, ""childrens"", drama, comedy, music, family film",55000000.0,217326974.0,0.5948418216305519,148025572.0,0.4051581783694481,365352546.0
alvin and the chipmunks: chipwrecked,2011,english,united states of america,"computer animation, family film, fantasy, comedy, animation",80000000.0,133110742.0,0.3813057568833254,215981134.0,0.6186942431166745,349091876.0
alvin and the chipmunks: the squeakquel,2009,"french, english",united states of america,"computer animation, ""childrens"", fantasy, comedy, music, family film",70000000.0,219614612.0,0.4952038894874697,223868601.0,0.5047961105125303,443483213.0
amelia,2009,english,"united states of america, canada","biography, adventure, period piece, drama, romance film, biographical film",40000000.0,14279575.0,0.7227940547103557,5476502.0,0.2772059452896443,19756077.0
america's sweethearts,2001,english,united states of america,"romantic comedy, romance film, comedy",46000000.0,93607673.0,0.5826862814081922,67040820.0,0.4173137185918077,160648493.0
american gangster,2007,english,united states of america,"crime fiction, gangster film, crime drama, period piece, drama, war film, crime thriller, biographical film",100000000.0,130164645.0,0.4825283591140315,139590785.0,0.5174716408859684,269755430.0
american hustle,2007,english,united states of america,comedy,40000000.0,150117807.0,0.5821265709164339,107760487.0,0.417873429083566,257878294.0
american outlaws,2001,english,united states of america,"costume drama, action/adventure, revisionist western, western, comedy, action",35000000.0,13342790.0,0.9754276527674384,336123.0,0.0245723472325615,13678913.0
american pie 2,2001,english,united states of america,"ensemble film, sex comedy, gross-out film, comedy, gross out, romance film, teen",30000000.0,145103595.0,0.5046140876798985,142450000.0,0.4953859123201016,287553595.0
american psycho,2000,"spanish, english, cantonese",united states of america,"thriller, crime thriller, horror, psychological thriller, period piece, satire, drama, comedy, film adaptation, crime fiction, black comedy, slasher",8000000.0,15070285.0,0.439747874871773,19200000.0,0.560252125128227,34270285.0
american reunion,2012,english,united states of america,"romance film, comedy",50000000.0,57011521.0,0.2405022770182683,180040376.0,0.7594977229817317,237051897.0
american wedding,2003,english,"united states of america, germany","sex comedy, gross-out film, comedy, gross out, romance film, teen",55000000.0,104565114.0,0.4493115987902095,128157821.0,0.5506884012097906,232722935.0
amores perros,2000,spanish,mexico,"thriller, ensemble film, drama",2000000.0,5408467.0,0.2586735316367288,15500000.0,0.7413264683632712,20908467.0
amour,1970,danish,denmark,"romantic drama, romance film, drama",9700000.0,6739492.0,0.1832001896726998,30048090.0,0.8167998103273001,36787582.0
an american haunting,2006,english,"united states of america, romania, canada, united kingdom","period piece, horror, supernatural",14000000.0,16298046.0,0.5353578065856708,14145231.0,0.4646421934143292,30443277.0
an education,2009,"french, english","united states of america, united kingdom","coming of age, period piece, drama, film adaptation, romantic drama, romance film",7500000.0,12574914.0,0.4240726386934413,17077822.0,0.5759273613065586,29652736.0
an inconvenient truth,2006,english,united states of america,"culture & society, biography, environmental science, political cinema, social issues, documentary",1000000.0,24146161.0,0.4524640208147802,29219764.0,0.5475359791852198,53365925.0
an unfinished life,2005,english,"united states of america, germany","family drama, drama, melodrama",30000000.0,8586392.0,0.4611806329734791,10031892.0,0.5388193670265208,18618284.0
anacondas: the hunt for the blood orchid,2004,english,united states of america,"thriller, natural horror films, horror, adventure, jungle film, action/adventure, action",25000000.0,32238923.0,0.4538205484900158,38800000.0,0.5461794515099841,71038923.0
analyze that,2002,english,united states of america,"crime comedy, buddy film, comedy, gangster film",60000000.0,32130627.0,0.5841599210663174,22872508.0,0.4158400789336826,55003135.0
anchorman: the legend of ron burgundy,2004,"french, english, spanish",united states of america,"parody, media satire, workplace comedy, cult, comedy, romance film",25000000.0,85288303.0,0.9408555657032844,5361427.0,0.0591444342967155,90649730.0
angel eyes,2001,english,united states of america,"crime fiction, romantic drama, romance film, drama",38000000.0,24174218.0,0.8135192666102787,5541388.0,0.1864807333897212,29715606.0
anger management,2003,english,united states of america,"black comedy, comedy, slapstick",56000000.0,135645823.0,0.6929691827957933,60100000.0,0.3070308172042067,195745823.0
anna karenina,1935,english,united states of america,"costume drama, black-and-white, drama, film adaptation, romantic drama, romance film",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1918,"silent film, hungarian",hungary,"silent film, drama",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1915,"silent film, english",united states of america,"silent film, drama, black-and-white",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1997,"russian, english",united states of america,"costume drama, romance film, drama",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1967,"french, arabic, russian","soviet union, russia","romantic drama, romance film, drama, world cinema",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1985,english,united states of america,costume drama,49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
anna karenina,1948,"italian, english",united kingdom,"costume drama, black-and-white, drama, film adaptation, romantic drama, romance film",49000000.0,12816367.0,0.1805004482313525,58188260.0,0.8194995517686474,71004627.0
annie,1999,english,united states of america,"television movie, musical, ""childrens"", comedy, music, family film",65000000.0,85911262.0,0.6143995737670039,53918363.0,0.385600426232996,139829625.0
annie,1982,english,united states of america,"musical, ""childrens"", drama, comedy, music, family film",65000000.0,85911262.0,0.6143995737670039,53918363.0,0.385600426232996,139829625.0
another year,2010,english,united kingdom,"romantic drama, romance film, drama, indie, comedy",8000000.0,3205706.0,0.1602403285517919,16799907.0,0.8397596714482081,20005613.0
antitrust,2001,english,united states of america,"thriller, crime fiction, action/adventure, drama, suspense, crime thriller, action",30000000.0,11328094.0,0.6214634398966782,6900000.0,0.3785365601033218,18228094.0
antwone fisher,2002,"japanese, english",united states of america,"romance film, biography, drama, biopic [feature]",12500000.0,21078145.0,0.9020249246113826,2289441.0,0.0979750753886173,23367586.0
anything else,2003,english,"united states of america, france, united kingdom","romantic comedy, romance film, comedy",18000000.0,3212310.0,0.2364587608091968,10372765.0,0.7635412391908032,13585075.0
apocalypto,2006,"maya, yucatán",united states of america,"adventure, chase movie, epic, action/adventure, period piece, drama, historical epic, action",40000000.0,50866635.0,0.4202733218128798,70165637.0,0.5797266781871202,121032272.0
apollo 18,2011,english,united states of america,"thriller, science fiction, horror",5000000.0,17687709.0,0.6669925888618776,8830890.0,0.3330074111381223,26518599.0
appaloosa,2008,"apache, western, english, spanish",united states of america,"action/adventure, crime fiction, western, drama, film adaptation",20000000.0,20211394.0,0.7241254692115097,7700059.0,0.2758745307884903,27911453.0
aquaman,2007,english,united states of america,"thriller, science fiction, adventure, fantasy, drama, romance film, action",160000000.0,335061807.0,0.2908619061534563,816900000.0,0.7091380938465437,1151961807.0
aquamarine,2006,english,"united states of america, australia","""childrens"", coming of age, comedy, fantasy, romance film, fantasy comedy, family film, teen",12000000.0,18597342.0,0.8089333094446414,4392615.0,0.1910666905553585,22989957.0
arbitrage,2012,english,"united states of america, poland","thriller, drama",12000000.0,7919574.0,0.2210275302085113,27911139.0,0.7789724697914887,35830713.0
argo,2006,english,united states of america,short film,44500000.0,136025503.0,0.5854953556261105,96300000.0,0.4145046443738895,232325503.0
argo,2012,english,united states of america,"thriller, drama, comedy",44500000.0,136025503.0,0.5854953556261105,96300000.0,0.4145046443738895,232325503.0
armored,2009,english,united states of america,"thriller, crime thriller, action, drama, heist",20000000.0,15988876.0,0.6757470234399691,7672162.0,0.3242529765600309,23661038.0
around the world in 80 days,2004,"french, cantonese, turkish, english, hindi, german","united states of america, ireland, united kingdom, germany","adventure, martial arts film, action/adventure, western, ""childrens"", drama, comedy, film adaptation, family film, action, romance film, steampunk",110000000.0,24008137.0,0.3326199022581323,48170758.0,0.6673800977418676,72178895.0
around the world in 80 days,1988,english,australia,"family film, adventure, animation",110000000.0,24008137.0,0.3326199022581323,48170758.0,0.6673800977418676,72178895.0
arthur,2011,english,united states of america,"romantic comedy, romance film, remake, comedy",40000000.0,33035397.0,0.6861226787560715,15112548.0,0.3138773212439285,48147945.0
arthur,1981,english,united states of america,"romantic comedy, romance film, drama, comedy",40000000.0,33035397.0,0.6861226787560715,15112548.0,0.3138773212439285,48147945.0
arthur christmas,2011,english,"united states of america, united kingdom","computer animation, family film, comedy, holiday film, animation",85000000.0,46462469.0,0.3103350355567877,103254655.0,0.6896649644432122,149717124.0
assault on precinct 13,1976,english,united states of america,"thriller, crime fiction, indie, action/adventure, suspense, action",30000000.0,20040895.0,0.5560598592238067,16000000.0,0.4439401407761932,36040895.0
assault on precinct 13,2005,"english, serbian","united states of america, france","thriller, action/adventure, action, remake, crime thriller",30000000.0,20040895.0,0.5560598592238067,16000000.0,0.4439401407761932,36040895.0
astro boy,2009,english,"united states of america, japan, hong kong","science fiction, japanese movies, adventure, world cinema, superhero movie, computer animation, ""childrens/family"", animation, action/adventure, anime, adventure comedy, family film, action, chinese movies",65000000.0,19551067.0,0.4695684718719698,22085176.0,0.5304315281280302,41636243.0
atlantis: the lost empire,2001,english,united states of america,"science fiction, fantasy adventure, adventure, ""childrens/family"", animation, family film",90000000.0,84056472.0,0.4517860204088899,101997253.0,0.5482139795911101,186053725.0
atonement,2007,"french, english","france, united kingdom","war film, mystery, period piece, drama, film adaptation, romantic drama, romance film",30000000.0,50980159.0,0.3928206645648078,78799569.0,0.6071793354351922,129779728.0
august rush,2007,english,united states of america,"childhood drama, romantic fantasy, drama, music, romance film, musical drama",25000000.0,31664162.0,0.4788746491222153,34457864.0,0.5211253508777847,66122026.0
australia,1989,"french, english","france, switzerland, belgium",drama,130000000.0,49554002.0,0.2303971330589651,165526808.0,0.7696028669410349,215080810.0
australia,2008,"chinese, japanese, english","united states of america, australia, new zealand, united kingdom","adventure, history, period piece, epic, western, drama, war film, romantic drama, romance film",130000000.0,49554002.0,0.2303971330589651,165526808.0,0.7696028669410349,215080810.0
autumn in new york,2000,english,united states of america,"romantic drama, romance film, drama, medical fiction",40000000.0,37761915.0,0.4162162662030088,52964753.0,0.5837837337969912,90726668.0
avatar,2009,"english, spanish","united states of america, united kingdom","thriller, science fiction, adventure, computer animation, epic, nature, fantasy, action",425000000.0,760507625.0,0.2739240074901361,2015837654.0,0.7260759925098639,2776345279.0
avatar,2004,english,singapore,"thriller, science fiction, adventure",425000000.0,760507625.0,0.2739240074901361,2015837654.0,0.7260759925098639,2776345279.0
awake,2007,english,united states of america,"thriller, drama, psychological thriller",8600000.0,14377198.0,0.4360423645247587,18594823.0,0.5639576354752412,32972021.0
babel,2006,"french, japanese, arabic, english, spanish","united states of america, mexico, france","drama, indie, political drama",20000000.0,34302837.0,0.2534751412659742,101027345.0,0.7465248587340257,135330182.0
baby mama,2008,english,united states of america,"romance film, comedy",30000000.0,60494212.0,0.9386993778682824,3950501.0,0.0613006221317177,64444713.0
babylon a.d.,2008,"russian, english","united states of america, france, united kingdom","thriller, science fiction, action, adventure",45000000.0,22532572.0,0.3124784632196724,49576628.0,0.6875215367803276,72109200.0
bad boys ii,2003,"english, portuguese",united states of america,"crime fiction, thriller, buddy film, adventure, action comedy, buddy cop, action/adventure, comedy, action",130000000.0,138608444.0,0.5070925190205547,134731112.0,0.4929074809794452,273339556.0
